"GO ID","Term Name","Interaction Type","Host Division","Host Direction","Host DEGs","Host p.adj","Symbiont Division","Symbiont Direction","Symbiont DEGs","Symbiont p.adj"
"GO:0061077","obsolete chaperone-mediated protein folding","Antagonistic (Host Up)","BP","up",53,0.000340293581377159,"BP","down",140,3.19433765894643e-05
"GO:0005681","spliceosomal complex","Antagonistic (Host Up)","CC","up",169,0.0547669773406876,"CC","down",271,3.03439679113055e-06
"GO:0005685","U1 snRNP","Antagonistic (Host Up)","CC","up",17,0.00628629279514512,"CC","down",31,0.00589300781508929
"GO:0005732","sno(s)RNA-containing ribonucleoprotein complex","Antagonistic (Host Up)","CC","up",20,0.0818854511195115,"CC","down",39,3.18350245388891e-06
"GO:0035770","ribonucleoprotein granule","Antagonistic (Host Up)","CC","up",431,0.0910879278929425,"CC","down",565,0.00137939635728687
"GO:0043209","myelin sheath","Antagonistic (Host Up)","CC","up",129,0.0338083375986321,"CC","down",110,0.0105518873932087
"GO:0044429","obsolete mitochondrial part","Antagonistic (Host Up)","CC","up",690,5.38641570243431e-15,"CC","down",620,0.0235254000198139
"GO:0044455","obsolete mitochondrial membrane part","Antagonistic (Host Up)","CC","up",143,1.86877627845338e-06,"CC","down",137,0.0394000045316952
"GO:0070069","cytochrome complex","Antagonistic (Host Up)","CC","up",18,0.0019818533600216,"CC","down",18,0.0115563375645724
"GO:0071004","prespliceosome","Antagonistic (Host Up)","CC","up",21,0.0402166362916299,"CC","down",58,0.00909065893921184
"GO:0098798","mitochondrial protein-containing complex","Antagonistic (Host Up)","CC","up",176,7.23737274305171e-08,"CC","down",126,0.000253721667457742
"GO:0098800","inner mitochondrial membrane protein complex","Antagonistic (Host Up)","CC","up",79,1.46341695567752e-05,"CC","down",52,0.00753845630903075
"GO:1990204","oxidoreductase complex","Antagonistic (Host Up)","CC","up",78,0.000649712822337713,"CC","down",98,0.0131187952258381
"GO:0003735","structural constituent of ribosome","Antagonistic (Host Up)","MF","up",125,0.00490787490298342,"MF","down",200,3.00170689224345e-41
"GO:0003743","translation initiation factor activity","Antagonistic (Host Up)","MF","up",47,0.0156241607721894,"MF","down",57,0.00531166742525922
"GO:0003924","GTPase activity","Antagonistic (Host Up)","MF","up",158,0.00790408216878428,"MF","down",139,0.0020903769637528
"GO:0016407","acetyltransferase activity","Antagonistic (Host Up)","MF","up",53,0.0471374477666181,"MF","down",47,0.03539808391521
"GO:0019843","rRNA binding","Antagonistic (Host Up)","MF","up",43,0.0396202213700106,"MF","down",62,3.82265472754502e-07
"GO:0030515","snoRNA binding","Antagonistic (Host Up)","MF","up",28,0.0659790886769094,"MF","down",44,0.0791438009609077
"GO:0031369","translation initiation factor binding","Antagonistic (Host Up)","MF","up",36,0.0667985511625877,"MF","down",38,0.0243425747707681
"GO:0031625","ubiquitin-like protein ligase binding","Antagonistic (Host Up)","MF","up",267,0.0688729677022603,"MF","down",230,0.00406549019027456
"GO:0044183","protein folding chaperone","Antagonistic (Host Up)","MF","up",17,0.0735874996507361,"MF","down",42,0.0326716351184886
"GO:0051082","unfolded protein binding","Antagonistic (Host Up)","MF","up",79,0.000267971813204931,"MF","down",157,0.0253691224689479
"GO:0180051","translation factor activity, RNA binding","Antagonistic (Host Up)","MF","up",87,0.000873087986036841,"MF","down",123,0.0189228853205068
"GO:0001508","action potential","Antagonistic (Host Down)","BP","down",73,0.00130954542803127,"BP","up",89,0.00131323386159294
"GO:0001708","cell fate specification","Antagonistic (Host Down)","BP","down",147,0.082264335501405,"BP","up",35,0.0994193813626423
"GO:0001895","retina homeostasis","Antagonistic (Host Down)","BP","down",52,0.0935052424024537,"BP","up",41,0.0849027348543252
"GO:0002064","epithelial cell development","Antagonistic (Host Down)","BP","down",338,0.0283561841618156,"BP","up",147,0.00190738720206267
"GO:0003013","circulatory system process","Antagonistic (Host Down)","BP","down",229,0.091324324190661,"BP","up",112,0.000522354335740698
"GO:0007186","G protein-coupled receptor signaling pathway","Antagonistic (Host Down)","BP","down",287,0.00154188222711311,"BP","up",116,0.0736947151543313
"GO:0007267","cell-cell signaling","Antagonistic (Host Down)","BP","down",609,0.00771411638224413,"BP","up",351,0.0156902496810038
"GO:0007268","synaptic signaling","Antagonistic (Host Down)","BP","down",336,0.0639009140035924,"BP","up",214,0.0185884225350736
"GO:0007417","central nervous system development","Antagonistic (Host Down)","BP","down",751,0.0331897020690788,"BP","up",385,0.059440403567445
"GO:0007600","sensory perception","Antagonistic (Host Down)","BP","down",361,0.00384398896292665,"BP","up",239,0.0151840505801029
"GO:0007606","sensory perception of chemical stimulus","Antagonistic (Host Down)","BP","down",92,0.00875125318245775,"BP","up",66,0.0831556204909189
"GO:0007626","locomotory behavior","Antagonistic (Host Down)","BP","down",259,0.0447559973504378,"BP","up",181,0.0063513596815213
"GO:0030029","actin filament-based process","Antagonistic (Host Down)","BP","down",368,0.000805589415403342,"BP","up",319,0.0324305388377512
"GO:0030855","epithelial cell differentiation","Antagonistic (Host Down)","BP","down",520,0.00145743485265663,"BP","up",212,0.00494696604020425
"GO:0033555","multicellular organismal response to stress","Antagonistic (Host Down)","BP","down",56,0.0492270669129025,"BP","up",66,0.0435707250503053
"GO:0035150","regulation of tube size","Antagonistic (Host Down)","BP","down",142,0.0109218321810913,"BP","up",49,0.0899373842883485
"GO:0035637","obsolete multicellular organismal signaling","Antagonistic (Host Down)","BP","down",60,0.0427858090956527,"BP","up",62,0.0479219282454584
"GO:0040008","regulation of growth","Antagonistic (Host Down)","BP","down",658,0.00481281752684441,"BP","up",414,0.0745222582158269
"GO:0044057","regulation of system process","Antagonistic (Host Down)","BP","down",329,0.095741405821732,"BP","up",217,0.000272475723391272
"GO:0048638","regulation of developmental growth","Antagonistic (Host Down)","BP","down",443,0.00037916734343186,"BP","up",258,0.0682884944127685
"GO:0048878","chemical homeostasis","Antagonistic (Host Down)","BP","down",698,0.0986357475553792,"BP","up",574,0.00525485796256332
"GO:0050878","regulation of body fluid levels","Antagonistic (Host Down)","BP","down",241,0.0150664455106465,"BP","up",98,0.0255306049588253
"GO:0050906","detection of stimulus involved in sensory perception","Antagonistic (Host Down)","BP","down",93,0.00326336988495221,"BP","up",53,0.0713338911577537
"GO:0051606","detection of stimulus","Antagonistic (Host Down)","BP","down",206,0.00888117439917407,"BP","up",170,0.0697079062613802
"GO:0097435","supramolecular fiber organization","Antagonistic (Host Down)","BP","down",267,0.00771411638224413,"BP","up",261,0.0111425213402909
"GO:0005871","kinesin complex","Antagonistic (Host Down)","CC","down",45,0.0869156266624625,"CC","up",89,0.018435090280604
"GO:0008076","potassium channel complex","Antagonistic (Host Down)","CC","down",27,0.0589397644481897,"CC","up",35,0.00063497613783111
"GO:0016324","apical plasma membrane","Antagonistic (Host Down)","CC","down",202,0.0459776756643171,"CC","up",120,0.00607631955290332
"GO:0019898","extrinsic component of membrane","Antagonistic (Host Down)","CC","down",193,0.0630042008322027,"CC","up",128,0.00607631955290332
"GO:0030018","I band","Antagonistic (Host Down)","CC","down",75,0.00509855818467156,"CC","up",90,0.00147769364016282
"GO:0030425","dendritic tree","Antagonistic (Host Down)","CC","down",432,0.000681544495261317,"CC","up",353,0.00168915454792575
"GO:0031226","obsolete intrinsic component of plasma membrane","Antagonistic (Host Down)","CC","down",606,4.36960902148427e-06,"CC","up",332,3.40953630766447e-17
"GO:0031253","cell projection membrane","Antagonistic (Host Down)","CC","down",183,0.000192957009576589,"CC","up",103,0.00103466301611289
"GO:0031256","leading edge membrane","Antagonistic (Host Down)","CC","down",91,0.000539921088177581,"CC","up",50,0.00596673049420289
"GO:0031514","motile cilium","Antagonistic (Host Down)","CC","down",136,4.30207420497401e-05,"CC","up",160,0.0636622054731306
"GO:0031594","neuromuscular junction","Antagonistic (Host Down)","CC","down",90,0.0454290501012251,"CC","up",60,0.0186954340506265
"GO:0032589","neuron projection membrane","Antagonistic (Host Down)","CC","down",40,0.0141922316121174,"CC","up",22,0.000253721667457742
"GO:0032809","neuronal cell body membrane","Antagonistic (Host Down)","CC","down",37,2.13337599081124e-05,"CC","up",19,0.0145544518479979
"GO:0044456","synapse","Antagonistic (Host Down)","CC","down",568,0.000532224814218346,"CC","up",385,0.0340922794020736
"GO:0045121","membrane raft","Antagonistic (Host Down)","CC","down",179,0.00908136080820978,"CC","up",129,0.0200521052079878
"GO:0045177","apical part of cell","Antagonistic (Host Down)","CC","down",312,0.0457566820110093,"CC","up",189,0.00161683214059457
"GO:0045211","postsynaptic membrane","Antagonistic (Host Down)","CC","down",98,1.52372109858435e-05,"CC","up",55,0.0339440495959376
"GO:0097440","apical dendrite","Antagonistic (Host Down)","CC","down",15,0.0582887690890184,"CC","up",10,0.0185758235266502
"GO:0098590","plasma membrane region","Antagonistic (Host Down)","CC","down",563,2.13337599081124e-05,"CC","up",341,0.000292708375368426
"GO:0098797","plasma membrane protein complex","Antagonistic (Host Down)","CC","down",206,0.0370296503529366,"CC","up",171,0.000699347944500649
"GO:0099568","cytoplasmic region","Antagonistic (Host Down)","CC","down",381,2.28578454780658e-06,"CC","up",491,0.0344371281313006
"GO:0004553","hydrolase activity, acting on glycosyl bonds","Antagonistic (Host Down)","MF","down",93,0.0659790886769094,"MF","up",119,0.039321317310747
"GO:0004709","MAP kinase kinase kinase activity","Antagonistic (Host Down)","MF","down",16,0.0757426814881414,"MF","up",18,0.00904876164130739
"GO:0005244","voltage-gated monoatomic ion channel activity","Antagonistic (Host Down)","MF","down",69,0.00484077689477816,"MF","up",110,3.70188143942702e-08
"GO:0005509","calcium ion binding","Antagonistic (Host Down)","MF","down",173,0.0667985511625877,"MF","up",248,0.000103091231056308
"GO:0005543","phospholipid binding","Antagonistic (Host Down)","MF","down",239,0.0184470775891448,"MF","up",160,0.0290518789952413
"GO:0008289","lipid binding","Antagonistic (Host Down)","MF","down",336,0.0222879794679399,"MF","up",233,0.052974562917934
"GO:0015081","sodium ion transmembrane transporter activity","Antagonistic (Host Down)","MF","down",78,0.0659790886769094,"MF","up",89,0.000170912797134625
"GO:0015103","obsolete inorganic anion transmembrane transporter activity","Antagonistic (Host Down)","MF","down",80,0.0468562043184909,"MF","up",71,0.00189449235578934
"GO:0022836","gated channel activity","Antagonistic (Host Down)","MF","down",140,3.82091176050046e-06,"MF","up",146,1.94397682945124e-09
"GO:0030165","PDZ domain binding","Antagonistic (Host Down)","MF","down",66,0.054628747370307,"MF","up",27,0.025662514929482
"GO:0031267","GTPase binding","Antagonistic (Host Down)","MF","down",372,0.0156885110683988,"MF","up",160,0.0506359690788889
"GO:0046873","metal ion transmembrane transporter activity","Antagonistic (Host Down)","MF","down",219,0.0187864327104469,"MF","up",241,6.77384521199822e-10
"GO:0120543","macromolecular conformation isomerase activity","Antagonistic (Host Down)","MF","down",224,0.0218493215257327,"MF","up",366,4.20762105441977e-06
