"organism","season","division","go_name","annotate_label","p.adj","delta.rank","nseqs","matches_keyword","is_top_significant","annotation_type","label_side"
"Symbiont","Summer","BP","establishment of protein localization to membrane","prot. local. to memb",8.89440201554283e-13,-1096,224,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","nucl.-txd mRNA catabol., nonsense-med.",2.35467200419935e-12,-1126,204,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","localization within membrane","local. within memb",2.71271012072873e-10,-737,414,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","nucleic acid catabolic process","nucl. acid catabol",3.80628435878813e-07,-657,375,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","establishment of protein localization to organelle","prot. local. to organelle",5.96483123343495e-07,-572,489,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","obsolete organic cyclic compound catabolic process","org. cyclic compound catabol",7.89944909314239e-07,-515,599,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","ribosome assembly","ribo. assemb",0.000317518801410677,-917,118,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","BP","response to cadmium ion","Cd2+ ion",0.000819321965777178,629,232,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Summer","BP","metal ion transport","metal ion transport",0.0489153352315799,394,326,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Summer","CC","cytosolic ribosome","cyto. ribo",1.31927692670406e-27,-1183,252,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","ribosome","ribo",3.21496719726766e-25,-1029,305,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","large ribosomal subunit","large ribo. subunit",5.45000168026044e-24,-1439,143,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","obsolete cytosolic part","cyto",2.72637455208739e-21,-889,345,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","obsolete polysomal ribosome","polysomal ribo",7.36496792034678e-21,-1429,125,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","obsolete polysome","polysome",4.66892005262714e-14,-925,205,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","small ribosomal subunit","small ribo. subunit",4.21629378975428e-08,-1089,85,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","rough endoplasmic reticulum membrane","rough ER memb",3.93786802915305e-06,-1131,60,TRUE,TRUE,"Keyword (bold)","left"
"Symbiont","Summer","CC","preribosome","preribo",3.70569222314524e-05,-581,197,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","CC","rough endoplasmic reticulum","rough ER",4.31589959416512e-05,-862,86,TRUE,TRUE,"Keyword (bold)","left"
"Symbiont","Summer","MF","structural constituent of ribosome","struct. const. of ribo",6.08594521319049e-39,-1758,201,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","MF","structural molecule activity","struct. mol",1.72935099233131e-30,-1207,341,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","MF","rRNA binding","rRNA bind",0.000252214654487132,-1124,62,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","MF","large ribosomal subunit rRNA binding","large ribo. subunit rRNA",0.00437295125684441,-2248,11,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","MF","mRNA binding","mRNA bind",0.00968982726412238,-324,507,FALSE,TRUE,"Top significant","left"
"Symbiont","Summer","MF","ATP-dependent activity","ATP-dep",0.000252214654487132,369,619,FALSE,TRUE,"Top significant","right"
"Symbiont","Summer","MF","ligase activity","ligase",0.000846698198708877,619,180,FALSE,TRUE,"Top significant","right"
"Symbiont","Summer","MF","plus-end-directed microtubule motor activity","plus-end-dir. MT motor",0.00968982726412238,1084,42,FALSE,TRUE,"Top significant","right"
"Symbiont","Summer","MF","phosphatidylinositol bisphosphate binding","PI bisP bind",0.0173596260499791,928,52,FALSE,TRUE,"Top significant","right"
"Symbiont","Summer","MF","polypeptide conformation or assembly isomerase activity","polypep. conform. or assemb.",0.0266080465173024,547,141,FALSE,TRUE,"Top significant","right"
"Symbiont","Summer","MF","calcium ion transmembrane transporter activity","Ca2+ ion TM transporter",0.0324354907951206,601,108,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","cytoplasmic translation","cyto. transl",1.91606678838273e-34,-1597,275,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","amide biosynthetic process","amide biosynth",2.3968760663984e-20,-812,684,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","translational initiation","transl. init",2.77669124222021e-18,-1333,212,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","establishment of protein localization to membrane","prot. local. to memb",5.25107643145056e-16,-1211,226,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","nucleic acid catabolic process","nucl. acid catabol",6.69262323057458e-15,-919,374,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","nucl.-txd mRNA catabol., nonsense-med.",3.50074459914975e-14,-1198,204,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","protein targeting to membrane","prot. targeting to memb",1.57175321166148e-13,-1214,189,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","ribonucleoprotein complex biogenesis","RNP cplx biogen",1.31117209174463e-12,-675,607,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","protein-RNA complex organization","prot.-RNA cplx org",5.34100320377736e-11,-796,370,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","obsolete organic cyclic compound catabolic process","org. cyclic compound catabol",1.68823602419541e-10,-623,599,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","BP","response to cadmium ion","Cd2+ ion",0.015441655963491,-459,231,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","BP","response to lithium ion","Li+ ion",0.0198796668955327,-1612,17,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","BP","negative regulation of calcium ion transmembrane transport","-reg. Ca2+ ion TM",0.0343112854479001,-1695,13,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","BP","monoatomic cation transport","cation transport",8.2054113840383e-10,664,485,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","monoatomic ion transmembrane transport","ion TM transport",2.37683958141821e-08,568,580,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","metal ion transport","metal ion transport",5.19742674189159e-07,680,328,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","obsolete inorganic ion transmembrane transport","inorg. ion TM transport",2.21410455969598e-05,557,381,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","monoatomic anion transport","anion transport",4.46001724898485e-05,574,334,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","potassium ion transport","K+ ion transport",0.000186048229405333,886,120,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","sodium ion transport","Na+ ion transport",0.000522354335740698,877,108,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","intracellular monoatomic anion homeostasis","IC anion homeo",0.00142133088770419,2201,15,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","monoatomic anion homeostasis","anion homeo",0.00250883828225496,1174,49,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","organic cation transport","org. cation transport",0.00321284766928087,774,109,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","calcium ion transport","Ca2+ ion transport",0.0055442897914959,646,143,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","obsolete regulation of anion channel activity","reg. anion ch",0.00582339288288656,1848,17,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","calcium-mediated signaling","Ca2+-med. signal",0.00786727495773379,858,75,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","positive regulation of monoatomic ion transmembrane transport","+reg. ion TM transport",0.00788162656858379,800,86,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","negative regulation of monoatomic anion transport","-reg. anion transport",0.0140695955301504,1929,13,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","inorganic anion transport","inorg. anion transport",0.0144005324757643,784,79,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","regulation of monoatomic ion transport","reg. ion transport",0.0198207659648682,442,234,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","potassium ion export across plasma membrane","K+ ion export across",0.021019788506902,1706,15,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","monoatomic ion homeostasis","ion homeo",0.0262819830114147,321,420,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","obsolete monovalent inorganic anion homeostasis","monoval. inorg. anion homeo",0.0276378144375382,1348,22,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","BP","positive regulation of monoatomic ion transport","+reg. ion transport",0.0461893490655794,510,134,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","CC","obsolete cytosolic part","cyto",3.21461509938045e-36,-1167,345,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","cytosolic ribosome","cyto. ribo",1.11190752858808e-35,-1340,251,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","large ribosomal subunit","large ribo. subunit",1.37222913106189e-32,-1677,143,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","ribosome","ribo",1.5351095361437e-30,-1131,303,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","obsolete polysomal ribosome","polysomal ribo",1.63371525116273e-28,-1671,125,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","obsolete polysome","polysome",2.9565197839431e-22,-1162,205,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","small ribosomal subunit","small ribo. subunit",8.7541214229917e-11,-1255,84,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","spliceosomal complex","spliceo. cplx",3.03439679113055e-06,-547,271,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","sno(s)RNA-containing ribonucleoprotein complex","sno(s)RNA-containing RNP cplx",3.18350245388891e-06,-1404,39,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","CC","rough endoplasmic reticulum membrane","rough ER memb",0.000155460173888133,-957,60,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","rough endoplasmic reticulum","rough ER",0.000563466493421048,-733,86,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","endoplasmic reticulum lumen","ER lumen",0.00406911909892821,-591,96,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","endoplasmic reticulum-Golgi intermediate compartment membrane","ER-Golgi memb",0.00909065893921184,-1050,25,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","endoplasmic reticulum protein-containing complex","ER prot",0.0101332955401771,-467,125,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","proton-transporting two-sector ATPase complex","H+ ATPase cplx",0.0394000045316952,-758,32,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","lumenal side of endoplasmic reticulum membrane","lumen. side of ER",0.0394000045316952,-1072,16,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","CC","obsolete intrinsic component of plasma membrane","intrins. comp. of PM",3.40953630766447e-17,813,332,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","CC","calcium channel complex","Ca2+ ch. cplx",0.00201088168608599,1116,30,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","CC","monoatomic ion channel complex","ion ch. cplx",0.00991300736141196,510,105,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","structural constituent of ribosome","struct. const. of ribo",3.00170689224345e-41,-1815,200,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","MF","structural molecule activity","struct. mol",1.97337194287708e-22,-1045,339,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","MF","mRNA binding","mRNA bind",1.98846570089607e-12,-649,507,FALSE,TRUE,"Top significant","left"
"Symbiont","Winter","MF","iron ion binding","Fe ion bind",0.0258718905265196,-607,79,TRUE,FALSE,"Keyword (bold)","left"
"Symbiont","Winter","MF","ATP-dependent activity","ATP-dep",2.22869085011382e-14,637,620,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","MF","monoatomic ion transmembrane transporter activity","ion TM transporter",1.22939735168858e-11,609,540,TRUE,TRUE,"Keyword (bold)","right"
"Symbiont","Winter","MF","metal ion transmembrane transporter activity","metal ion TM transporter",6.77384521199822e-10,820,241,TRUE,TRUE,"Keyword (bold)","right"
"Symbiont","Winter","MF","gated channel activity","gated ch",1.94397682945124e-09,1019,146,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","MF","channel activity","ch",3.08373975119376e-09,831,216,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","MF","monoatomic cation transmembrane transporter activity","cation TM transporter",3.2077553569118e-09,624,392,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","MF","voltage-gated channel activity","V-gated ch",3.70188143942702e-08,1083,110,FALSE,TRUE,"Top significant","right"
"Symbiont","Winter","MF","monoatomic ion channel activity","ion ch",7.33175978449126e-07,770,184,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","potassium ion transmembrane transporter activity","K+ ion TM transporter",2.07882441700821e-05,892,106,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","calcium ion transmembrane transporter activity","Ca2+ ion TM transporter",9.01646208170219e-05,827,108,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","calcium ion binding","Ca2+ ion bind",0.000103091231056308,546,248,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","sodium ion transmembrane transporter activity","Na+ ion TM transporter",0.000170912797134625,878,89,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","calcium channel activity","Ca2+ ch",0.00387998327497806,957,49,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","ligand-gated monoatomic ion channel activity","lig.-gated ion ch",0.00451908924110734,925,51,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","voltage-gated calcium channel activity","V-gated Ca2+ ch",0.0119429462962718,1071,31,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","P-type calcium transporter activity","P Ca2+ transporter",0.0142636038329728,1191,24,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","alkali metal ion binding","alkali metal ion bind",0.0146995798457901,1043,31,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","calcium-dependent cysteine-type endopeptidase activity","Ca2+-dep. Cys endopep",0.0309086758811097,784,44,TRUE,FALSE,"Keyword (bold)","right"
"Symbiont","Winter","MF","calcium-dependent phospholipid binding","Ca2+-dep. phospholip. bind",0.0327559226143422,1121,21,TRUE,FALSE,"Keyword (bold)","right"
